region,region_no,year_detected
Albania,1,Inf
Austria,2,2011
Belarus,3,Inf
Belgium,4,2012
Bosnia and Herzegovina,5,2010
Bulgaria,6,2014
Croatia,7,2010
Czechia,8,2013
Denmark,9,2014
Estonia,10,Inf
Finland,11,Inf
France,12,2010
Germany,13,2010
Greece,14,2014
Hungary,15,2012
Iceland,16,Inf
Ireland,17,2015
Italy,18,2008
Kosovo,19,Inf
Latvia,20,Inf
Lithuania,21,Inf
Luxembourg,22,Inf
Macedonia,23,Inf
Moldova,24,Inf
Montenegro,25,2014
Netherlands,26,2012
Norway,27,2016
Poland,28,2012
Portugal,29,2012
Republic of Serbia,30,2012
Romania,31,2013
Russia,32,2014
Slovakia,33,2014
Slovenia,34,2010
Spain,35,2008
Sweden,36,2014
Switzerland,37,2011
Ukraine,38,Inf
United Kingdom,39,2012
